FileName,inst#,actual,predicted,error,prediction
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\util\SequenceTest.java$testToString,1,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\postag\POSDictionaryTest.java$testCaseSensitiveDictionary,2,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\cmdline\parser\ParserEvaluatorTool.java$getShortDescription,3,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\romanianStemmer.java$r_R2,4,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\sentdetect\SentenceDetectorEvaluator.java$processSample,5,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\cmdline\namefind\TokenNameFinderTrainerTool.java$TokenNameFinderTrainerTool,6,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\util\StringList.java$hasNext,7,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\dictionary\DictionaryAsSetCaseInsensitiveTest.java$testEquals,8,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\sentdetect\DefaultSDContextGenerator.java$previousSpaceIndex,9,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-uima\src\main\java\opennlp\uima\postag\POSTaggerTrainer.java$initialize,10,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\formats\ad\ADChunkSampleStream.java$processNode,11,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\ml\AbstractTrainer.java$getDoubleParam,12,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\tokenize\TokenSampleTest.java$testCreationWithDetokenizer,13,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\russianStemmer.java$r_perfective_gerund,14,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\parser\ParserChunkerSequenceValidator.java$ParserChunkerSequenceValidator,15,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\namefind\TokenNameFinderFactory.java$validateArtifactMap,16,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\SnowballProgram.java$out_range_b,17,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\ml\maxent\io\QNModelWriter.java$QNModelWriter,18,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\sentdetect\SDEventStream.java$SDEventStream,19,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java$SimplePerceptronSequenceTrainer,20,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\util\VersionTest.java$testParseSnapshot,21,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\formats\muc\Muc6NameSampleStreamFactory.java$registerFactory,22,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\cmdline\CLITest.java$checkExit,23,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\cmdline\CLITest.java$testHelpMessageOfTools,24,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerEvaluatorTool.java$read,25,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\ml\maxent\quasinewton\QNPrepAttachTest.java$testQNOnPrepAttachDataWithL1Params,26,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\formats\convert\NameToSentenceSampleStreamFactory.java$registerFactory,27,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\entitylinker\EntityLinkerProperties.java$getProperty,28,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\ml\model\AbstractModelReader.java$getOutcomePatterns,29,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\postag\POSDictionary.java$serialize,30,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\tokenize\TokenizerCrossValidator.java$evaluate,31,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\ml\perceptron\PerceptronPrepAttachTest.java$testPerceptronOnPrepAttachDataWithTolerance,32,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\parser\ParserModel.java$serialize,33,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\formats\brat\BratNameSampleStreamFactory.java$create,34,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerModelLoader.java$ChunkerModelLoader,35,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\hungarianStemmer.java$r_case,36,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\dutchStemmer.java$r_mark_regions,37,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\parser\PosSampleStreamTest.java$testConvertParseToPosSample,38,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\portugueseStemmer.java$copy_from,39,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerModel.java$ChunkerModel,40,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\util\BeamSearchTest.java$getAllOutcomes,41,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\SnowballProgram.java$in_range,42,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-uima\src\main\java\opennlp\uima\postag\POSTagger.java$typeSystemInit,43,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\dictionary\DictionaryTest.java$testLookupCaseSensitive,44,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\namefind\BilouCodec.java$decode,45,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\formats\EvalitaNameSampleStream.java$extract,46,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\util\SpanTest.java$testToString,47,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerEvaluatorTool.java$run,48,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\postag\POSTaggerME.java$getAllPosTags,49,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\stemmer\snowball\danishStemmer.java$copy_from,50,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\test\java\opennlp\tools\postag\DummyPOSTaggerFactory.java$DummyPOSDictionary,51,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\parser\lang\en\HeadRules.java$readHeadRules,52,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-uima\src\main\java\opennlp\uima\sentdetect\SentenceDetectorTrainer.java$destroy,53,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\ml\model\AbstractModelReader.java$getModel,54,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\namefind\NameFinderSequenceValidator.java$validSequence,55,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\util\Cache.java$ObjectWrapper,56,2:valid,2:valid,,0.0
\vers\opennlp_1_6_0_rc4\repo\opennlp-tools\src\main\java\opennlp\tools\postag\POSTaggerCrossValidator.java$create,57,2:valid,2:valid,,0.0
